trip_distance,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id,month,day,day_of_week,hour_of_day,trip_duration
9.44,1,28.5,0,0.5,7.01,5.76,0.3,42.07,138,162,1,17,2,14,1976
20.63,1,76.5,0,0,19.16,19,0.3,114.96,50,1,3,5,0,8,1833
8.75,1,26.5,0.5,0.5,5.56,0,0.3,33.36,138,140,3,26,0,21,2528
6.37,1,25.5,0.5,0.5,6.7,0,0.3,33.5,239,179,3,3,5,23,3075
9.44,1,27,0,0.5,5.56,0,0.3,33.36,148,138,6,23,5,10,2073
4.9,1,21.5,0.5,0.5,3.42,0,0.3,26.22,264,264,6,23,5,23,2395
7.1,1,24,0,0.5,2.48,0,0.3,27.28,231,162,1,19,4,9,1224
8.5,1,24.5,0.5,0.5,7.2,0,0.3,33,138,97,2,7,2,23,1563
10.9,1,34.5,1,0.5,8.4,5.76,0.3,50.46,138,100,2,14,2,18,3147
7.71,1,23.5,0.5,0.5,7.44,0,0.3,32.24,162,33,11,6,1,20,1853
6.3,1,23,0,0.5,4.75,0,0.3,28.55,163,88,4,16,0,13,2419
14.7,1,45,0,0.5,10.3,5.76,0.3,61.86,138,87,9,13,3,11,1037
10.97,1,33,1,0.5,12.17,5.76,0.3,52.73,234,138,2,27,1,17,1775
5.3,1,23.5,0,0.5,4.86,0,0.3,29.16,43,148,6,3,6,9,1994
7.62,1,26,0,0.5,5.36,0,0.3,32.16,13,163,2,6,1,12,3827.000000000001
9.4,1,27,0.5,0.5,7.08,0,0.3,35.38,145,116,3,18,6,22,3723.000000000001
0.18,2,3,0.5,0.5,0,0,0.3,4.3,107,107,4,17,1,20,2244
9.48,1,32.5,1,0.5,8.01,5.76,0.3,48.07,138,234,7,27,4,17,2032
7.17,1,24.5,0,0.5,5.06,0,0.3,30.36,234,40,7,28,5,12,2395
11.35,1,33,0.5,0.5,6.86,0,0.3,41.16,48,95,2,27,1,2,1912
9.1,1,29.5,0,0.5,7.94,5.76,0.3,44,138,164,9,25,1,15,2195
15.7,1,44,0.5,0.5,9,0,0.3,54.3,132,145,6,25,0,21,3216
0.03,1,2.5,0,0.5,0,0,0.3,3.3,231,231,12,21,4,15,1084
7.7,1,24.5,0.5,0.5,2.5,0,0.3,28.3,13,263,9,14,4,23,2911
8.5,1,25,0,0.5,5.15,0,0.3,30.95,138,170,8,19,6,13,1398
2.85,1,22,0,0.5,4.56,0,0.3,27.36,186,229,11,6,1,11,2181
0.16,2,3,0.5,0.5,0,0,0.3,4.3,186,164,8,22,2,20,2412
12.5,1,39,0.5,0.5,10.05,0,0.3,50.35,132,189,10,27,5,0,2230
0.27,2,3,0,0.5,0,0,0.3,3.8,48,48,3,21,2,10,1807
10.58,1,30.5,1,0.5,6.46,0,0.3,38.76,138,33,9,25,1,18,1393
6.2,2,21.5,0.5,0.5,0,0,0.3,22.8,262,211,7,7,5,20,14
0.2,2,59,0,0,0,0,0.3,59.3,164,164,11,8,3,20,1431
9.5,1,34.5,1,0.5,4,0,0.3,40.3,138,148,6,26,1,16,2275
11.37,1,33,0,0.5,9.89,5.76,0.3,49.45,230,138,4,26,3,7,1571
9.7,2,32,0,0.5,0,5.76,0.3,38.56,138,234,2,17,5,19,1387
6.25,1,32,0.5,0.5,6.66,0,0.3,39.96,246,41,10,28,6,0,1526
10.98,1,32,0.5,0.5,7.81,5.76,0.3,46.87,138,162,6,25,0,21,1901
5.62,1,23.5,0.5,0.5,4.96,0,0.3,29.76,238,79,8,17,4,20,2289
3.55,1,24.5,0,0.5,5.06,0,0.3,30.36,140,68,11,28,2,8,1759
6.31,1,23.5,0,0.5,4.86,0,0.3,29.16,142,261,11,7,2,7,3913.000000000001
9.1,1,26,0.5,0.5,8.25,5.76,0.3,41.31,138,234,2,25,6,23,2389
9.5,1,28,1,0.5,8.89,5.76,0.3,44.45,162,138,6,15,4,16,1145
11.3,1,34,0,0.5,8.1,5.76,0.3,48.66,163,138,2,26,0,11,2640
7.01,1,22.5,0.5,0.5,4.76,0,0.3,28.56,263,87,6,24,6,20,1733
8.63,1,25.5,0,0.5,6,5.76,0.3,38.06,237,138,4,15,6,13,1941
8.88,1,31.5,0,0.5,7.61,5.76,0.3,45.67,138,263,3,27,1,14,2124
11.3,1,42.5,0,0.5,8.65,0,0.3,51.95,138,211,4,14,5,17,2483
4.57,1,23.5,1,0.5,5.06,0,0.3,30.36,137,74,9,21,4,16,1499
5.27,1,23.5,0.5,0.5,4.96,0,0.3,29.76,234,181,5,5,5,20,2150
7.32,1,30,0,0.5,7.7,0,0.3,38.5,138,112,3,27,1,15,2047
13,1,41,0,0.5,6.5,0,0.3,48.3,87,138,11,18,6,17,1742
0.08,1,85,0,0,0.05,0,0.3,85.35,264,264,11,30,4,6,1111
10.8,1,31,0.5,0.5,10.48,2.64,0.3,45.42,48,200,12,8,5,22,2883
11.17,1,39,1,0.5,9.31,5.76,0.3,55.87,138,162,10,17,2,16,3160
6.7,2,24.5,0,0.5,0,5.76,0.3,31.06,148,40,1,20,5,16,3281
7.4,1,23.5,0.5,0.5,0,0,0.3,24.8,63,39,1,20,5,20,1137
6.67,1,28.5,0.5,0.5,5.96,0,0.3,35.76,186,62,8,9,3,21,1717
9.99,1,31,0.5,0.5,8.08,0,0.3,40.38,97,263,3,6,1,21,2023
22.03,2,67,0,0.5,0,5.76,0.3,73.56,132,94,7,7,5,17,1461
9.91,1,37.5,1,0.5,0,5.76,0.3,45.06,161,181,7,30,0,18,1812
4.73,1,22.5,0.5,0.5,5.95,0,0.3,29.75,148,48,4,4,2,22,3528
8.94,1,34.5,1,0.5,4,0,0.3,40.3,138,48,8,30,3,18,2807
